,Ruta habilitada,nombre_institucion,nombre_programa,ISOEFT,IPO,cupos_habilitados
0,Antiguos,INSTITUTO TECNISISTEMAS - SUBA,TÉCNICO LABORAL POR COMPETENCIAS EN COCINA,0.5605079570552609,0.5544868385500799,61.0
1,Antiguos,CESDE BOGOTÁ,TÉCNICO LABORAL COMO AUXILIAR EN SISTEMAS,0.6221628622830333,0.5017927787383083,42.0
2,Antiguos,KUEPA EDUTECH,TÉCNICO LABORAL EN AUXILIAR EN MERCADEO Y VENTAS,0.4128480610905153,0.5550747107749594,36.0
3,Antiguos,INSTITUTO TECNISISTEMAS - TUNJUELITO,TECNICO LABORAL AUXILIAR CONTABLE,0.6145457502947083,0.4827655204810626,29.0
4,Antiguos,KUEPA EDUTECH,TÉCNICO LABORAL EN PROCESAMIENTO Y DIGITACIÓN DE DATOS,0.3881270028000835,0.6654679101763361,18.0
5,Antiguos,FEE ESTUDIO EMPRESARIAL - CHAPINERO,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO EN SALUD,0.6102624722257937,0.6234144946484348,17.0
6,Antiguos,FEE ESTUDIO EMPRESARIAL - TEUSAQUILLO,TÉCNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACÉUTICOS,0.5390259832229167,0.5998691545716319,16.0
7,Antiguos,POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR,TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,0.49907803333174855,0.4773236184370968,14.0
8,Antiguos,CENTRO DE EDUCACION PARA EL TRABAJO - CAFAM,TÉCNICO LABORAL EN AUXILIAR EN ELECTRÓNICA,NA,0.5422500544632771,10.0
9,Antiguos,CESDE BOGOTÁ,TÉCNICO LABORAL COMO ASESOR COMERCIAL Y DE SERVICIOS,NA,0.543728434808952,5.0
10,Antiguos,POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,0.5258634777265699,0.4773412360227283,5.0
11,Antiguos,CESDE BOGOTÁ,TÉCNICO LABORAL COMO AUXILIAR EN DISEÑO GRÁFICO,0.5768374682979867,0.5027682268850443,2.0
12,Grupos cerrados,KUEPA EDUTECH,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,0.5057753926102189,0.4585171071151449,110.0
13,Grupos cerrados,KUEPA EDUTECH,TÉCNICO LABORAL EN AUXILIAR EN MERCADEO Y VENTAS,0.4128480610905153,0.5550747107749594,40.0
14,Grupos cerrados,CESDE BOGOTÁ,TÉCNICO LABORAL COMO AUXILIAR ADMINISTRATIVO,0.6337764086265159,0.4585171071151449,31.0
15,Grupos cerrados,KUEPA EDUTECH,TÉCNICO LABORAL EN SERVICIOS TURISTICOS Y HOTELEROS,0.4128480610905153,0.4352916345833789,20.0
16,Nuevos,CORPORACIÓN DE EDUCACIÓN TECNOLÓGICA COLSUBSIDIO -AIRBUS GROUP ENGATIVA,Técnico Laboral por competencias en Codificación de Software_x000D_,NA,0.6654679101763361,50.0
17,Nuevos,UNIVERSIDAD DE LA SABANA,TECNICO LABORAL EN ASISTENCIA Y SOPORTE DE TECNOLOGIAS DE LA INFORMACION,NA,0.665,50.0
18,Nuevos,UNIVERSIDAD DE LA SABANA,TECNICO LABORAL EN MANEJO DE HERRAMIENTAS PARA LA CODIFICACION DE SOFTWARE,NA,0.665,24.0
19,Nuevos,UNIVERSIDAD DE LA SALLE,TÉCNICO LABORAL AUXILIAR EN RECREACIÓN Y DEPORTE,NA,0.546,12.0
20,Nuevos,UNIVERSIDAD DE LA SALLE,TÉCNICO LABORAL AUXILIAR AGENTE DE VENTAS Y PUBLICIDAD,NA,0.523,11.0
21,Nuevos,UNIVERSIDAD DE LA SALLE,TÉCNICO LABORAL AUXILIAR EN AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL,NA,0.551,11.0
22,Nuevos,UNIVERSIDAD DE LA SALLE,TÉCNICO LABORAL EN AUXILIAR CLÍNICA VETERINARIA,NA,0.558,11.0
23,Nuevos,UNIVERSIDAD DE LA SALLE,TÉCNICO LABORAL EN AUXILIAR DE SISTEMAS INFORMÁTICOS,NA,0.502,10.0
24,Nuevos,INSTITUTO TECNISISTEMAS - TUNJUELITO,TECNICO LABORAL EN AUXILIAR DE ENFERMERÍA,NA,0.477,7.0
